32;01;270645466;(-115.278241 36.177654,-115.279205 36.085213,-115.197179 36.086332,-115.14597 36.07154,-115.140159 36.086339,-115.028909 36.085408,-115.029378 36.11798,-115.030796 36.195772,-115.138871 36.195861,-115.174461 36.175554,-115.196756 36.20021,-115.233164 36.188548,-115.278241 36.177654)
42;02;192016020;(-75.328784 40.064168,-75.349457 40.052905,-75.311432 40.01981,-75.276482 39.976959,-75.249214 39.990547,-75.2017 39.919834,-75.169435 39.925558,-75.134194 40.019619,-75.12632 40.055481,-75.22361 40.092907,-75.264431 40.054094,-75.328784 40.064168)
53;10;2141250157;(-123.202066 47.084895,-123.158439 46.996237,-123.1605 46.827161,-123.006389 46.802404,-122.700476 46.881925,-122.49897 46.839732,-122.491497 46.867863,-122.49503 46.905808,-122.560493 46.93343,-122.533868 46.996149,-122.421878 46.99494,-122.421682 47.067803,-122.294789 47.053081,-122.293081 47.125653,-122.201792 47.195492,-122.229494 47.257538,-122.331183 47.25757,-122.33486 47.257594,-122.337217 47.241943,-122.432098 47.2333,-122.622139 47.209219,-122.675341 47.251319,-122.7595 47.141216,-122.821426 47.194211,-122.902531 47.154897,-122.936194 47.189512,-122.946064 47.205113,-123.061723 47.204318,-123.106421 47.218957,-123.095582 47.246293,-123.162232 47.227851,-123.129397 47.216087,-123.100193 47.182345,-123.102268 47.112296,-123.075003 47.090838,-123.097689 47.08466,-123.202066 47.084895)
26;01;64823252730;(-84.61622 45.89447,-84.650783 45.85921,-84.587572 45.8067,-84.484128 45.73071,-84.394038 45.727623,-84.35602 45.771895,-84.419696 45.799823,-84.517895 45.828543,-84.61622 45.89447);(-85.701809 45.736129,-85.696872 45.69725,-85.622741 45.586028,-85.561634 45.572213,-85.509276 45.596475,-85.377132 45.769013,-85.360952 45.817554,-85.524448 45.829794,-85.651866 45.743139,-85.701809 45.736129);(-86.138095 45.043038,-86.154824 45.002394,-86.081487 44.990096,-85.976883 45.06266,-85.954021 45.119281,-85.989412 45.151069,-86.04443 45.159582,-86.138095 45.043038);(-86.514702 44.058119,-86.501738 44.021912,-86.4632031152485 43.9710645597197,-86.465011 44.005215,-86.040106 43.989671,-86.041988 44.167091,-85.821186 44.164197,-85.817802 44.512969,-85.334 44.512303,-84.850929 44.511069,-84.370643 44.507223,-83.886634 44.508973,-83.3169625684127 44.5117348478876,-83.314517 44.608725,-83.276836 44.689354,-83.296971 44.758495,-83.3162661085766 44.8585914505609,-83.320503 44.880571,-83.352815 44.886164,-83.438856 44.940843,-83.435822 45.000012,-83.442052 45.051056,-83.399255 45.070364,-83.340257 45.041545,-83.265896 45.026844,-83.315924 45.139992,-83.3852110792565 45.207103993148,-83.405914 45.227157,-83.385104 45.274195,-83.488826 45.355872,-83.599273 45.352561,-83.697316 45.396239,-83.841543 45.435287,-83.909472 45.485784,-83.99835 45.491158,-84.095905 45.497298,-84.126532 45.556616,-84.196043 45.621456,-84.2108933455563 45.6262310178484,-84.329537 45.66438,-84.413642 45.669427,-84.46168 45.652404,-84.553311 45.698566,-84.718904 45.777599,-84.732242 45.780496853289,-84.772765 45.789301,-84.866976 45.752066,-85.014509 45.760329,-84.97095 45.686334,-85.061488 45.639505,-85.119737 45.569026,-85.109252 45.521626,-85.040936 45.436701,-84.980953 45.429382,-84.912956 45.409776,-84.959119 45.375973,-85.054805 45.364091,-85.096056872271 45.3630880404348,-85.196704 45.360641,-85.294848 45.316408,-85.371593 45.270834,-85.3778299745968 45.2075868169564,-85.380464 45.180876,-85.366749 45.101591,-85.380659 45.046319,-85.4314154750083 45.0166494527177,-85.475204 44.991053,-85.520034 44.973996,-85.5551427027088 45.0270345441369,-85.56613 45.043633,-85.531461 45.177247,-85.551072 45.210742,-85.633124 45.170899,-85.681096 45.092693,-85.746444 45.051229,-85.780439 44.977932,-85.854304 44.938147,-85.9316 44.968788,-85.980219 44.906136,-86.058862 44.911012,-86.065966 44.821522,-86.0784734528105 44.7784159957531,-86.089186 44.741496,-86.160268 44.728189,-86.248474 44.699046,-86.25395 44.64808,-86.220697 44.566742,-86.2370208650165 44.5182985861447,-86.248914 44.483004,-86.251926 44.400984,-86.26871 44.345324,-86.351638 44.229429,-86.3878433975288 44.1786855385089,-86.3913991469087 44.1737019989251,-86.429871 44.119782,-86.4580652757377 44.0992877982953,-86.514702 44.058119);(-89.221332 47.908069,-89.255202 47.876102,-89.201812 47.850243,-89.157738 47.824015,-89.044463 47.85575,-88.898986 47.900685,-88.852923 47.965322,-88.718555 47.995134,-88.579172 48.040758,-88.55044 48.102111,-88.427373 48.166764,-88.425162 48.21065,-88.547033 48.174891,-88.631908 48.148307,-88.728198 48.101914,-88.816084 48.057006,-88.893701 48.03477,-88.940886 48.01959,-89.018303 47.992525,-89.179154 47.93503,-89.221332 47.908069);(-90.418136 46.566094,-90.387228 46.533663,-90.331887 46.553278,-90.285707 46.518846,-90.214866 46.499947,-90.158241 46.420485,-90.120489 46.336852,-89.9291256256648 46.2999157284081,-89.638416 46.243804,-89.09163 46.138505,-88.991217028396 46.096536354436,-88.9327684510096 46.072107163776,-88.811948 46.021609,-88.739994 46.027308,-88.6832322084994 46.0144656703203,-88.679132 46.013538,-88.65776 45.989287,-88.613063 45.990627,-88.59386 46.015132,-88.526673 46.020822,-88.409864 45.979688,-88.380183 45.991654,-88.30952 45.959369,-88.246307 45.962983,-88.178008 45.947111,-88.1168565373761 45.9228112422627,-88.115346 45.922211,-88.073944 45.875593,-88.135067 45.821694,-88.105518 45.798839,-88.057010465949 45.7849770301437,-88.048514 45.782549,-87.995876 45.795435,-87.96697 45.764021,-87.879812 45.754843,-87.8330494680353 45.7227525753469,-87.805076 45.703556,-87.781007 45.673934,-87.824676 45.653211,-87.777671 45.609204,-87.787292 45.574906,-87.804203 45.524676,-87.805773 45.473139,-87.847429 45.444177,-87.85683 45.393106,-87.863489 45.35302,-87.800464 45.353608,-87.750928 45.355037,-87.706767 45.383827,-87.657349 45.368752,-87.667423 45.31636,-87.71148 45.245224,-87.741805 45.197051,-87.695055 45.150522,-87.648191 45.106368,-87.590208 45.095264,-87.548964 45.191591,-87.465201 45.273351,-87.350852 45.407743,-87.288726 45.501606,-87.2534496287802 45.5501155908891,-87.172241 45.661788,-87.070442 45.718779,-86.964275 45.672761,-86.838746 45.722307,-86.773279 45.811385,-86.647319 45.732618,-86.705184 45.690901,-86.712328 45.610939,-86.636895 45.542053,-86.616972 45.620581,-86.54143 45.70811,-86.4598805177494 45.750226550596,-86.439661 45.760669,-86.349134 45.83416,-86.278007 45.942057,-86.072067 45.965313,-85.913769 45.919439,-85.8658399219427 45.9475710731853,-85.810442 45.980087,-85.697203 45.960158,-85.648581 45.983695,-85.540858 46.079581,-85.381394 46.082044,-85.266385 46.065779,-85.152027 46.050725,-85.003597 46.00613,-84.917484 45.93067,-84.792763 45.858691,-84.706383 45.848658,-84.734002 45.907026,-84.632855 45.951007,-84.567493 45.947702,-84.480436 45.977764,-84.376429 45.931962,-84.254952 45.956068,-84.1146065625188 45.9679083747954,-84.080071 45.970822,-83.910838 45.965613,-83.80104 45.937582,-83.65766 45.945463,-83.583052 45.915919,-83.526347 45.918636,-83.480639 45.996164,-83.598612 46.090085,-83.719791 46.101031,-83.815826 46.108529,-83.882303 46.042065,-83.974012 46.081552,-84.026536 46.131648,-84.114941 46.174114,-84.108089 46.241238,-84.097766 46.256512,-84.138906 46.372221,-84.125026 46.470143,-84.117925 46.517619,-84.193729 46.53992,-84.293016 46.492803,-84.420274 46.501077,-84.461827 46.466566,-84.493401 46.440313,-84.607945 46.456747,-84.678423 46.487694,-84.849767 46.460245,-84.969464 46.47629,-85.027374 46.553756,-85.028291 46.675125,-84.964652 46.772845,-85.173042 46.763634,-85.2378731773596 46.7557027812565,-85.25686 46.75338,-85.482096 46.680432,-85.841057 46.688896,-85.8646071413292 46.6865683155134,-85.995044 46.673676,-86.138295 46.672935,-86.188024 46.654008,-86.45993 46.551928,-86.557731 46.487434,-86.62738 46.53371,-86.695645 46.555026,-86.750157 46.479109,-86.810967 46.449663,-86.903742 46.466138,-86.976958 46.526581,-87.1163595894707 46.5061514021205,-87.175065 46.497548,-87.366767 46.507303,-87.381649 46.580059,-87.503025 46.647497,-87.573203 46.720471,-87.595307 46.78295,-87.687164 46.841742,-87.77693 46.876726,-87.900339 46.909686,-88.0445216822815 46.9174499452762,-88.065192 46.918563,-88.143688 46.966665,-88.244437 46.929612,-88.372681 46.872277,-88.477935 46.85056,-88.455404 46.923321,-88.4393631859438 46.9419824250004,-88.385606 47.004522,-88.340052 47.080494,-88.239895 47.139436,-88.2004506759337 47.199716895982,-88.194218 47.209242,-88.096851 47.261351,-88.016478 47.306275,-87.94336 47.335899,-87.941613 47.390073,-87.800294 47.392148,-87.604704 47.388625,-87.591498 47.424113,-87.680067 47.455685,-87.801184 47.473301,-87.929269 47.478737,-88.085252 47.468961,-88.217822 47.448738,-88.285195 47.422392,-88.418673 47.371188,-88.50078 47.293503,-88.5129465056361 47.286107247715,-88.584912 47.242361,-88.69966 47.204831,-88.814834 47.141399,-88.88914 47.100575,-88.924492 47.042156,-88.9333684513417 47.033599097856,-88.959409 47.008496,-89.02893 47.00114,-89.142595 46.984859,-89.227914 46.912954,-89.415154 46.843983,-89.49908 46.841621,-89.569808 46.831859,-89.642255 46.82534,-89.720277 46.830413,-89.831956 46.804053,-89.8838676380105 46.7658114466678,-89.918466 46.740324,-90.04542 46.668272,-90.237609 46.624485,-90.327626 46.607744,-90.418136 46.566094)
26;13;478784404;(-83.430038 42.352465,-83.426534 42.265351,-83.423191 42.179439,-83.306022 42.181282,-83.287102 42.326688,-83.147736 42.351916,-83.200491 42.27524,-83.1156828414025 42.2310171461909,-83.0978584962561 42.2860113652487,-83.096521 42.290138,-82.988619 42.332439,-82.9496720986456 42.3442642212205,-83.089417 42.418161,-83.198422 42.394273,-83.203558 42.444748,-83.316825 42.442033,-83.312825 42.35518,-83.430038 42.352465)
36;10;36379611;(-74.047313 40.690466,-74.067720330319 40.6703805942446,-73.989621 40.590982,-73.96238 40.609986,-73.980364 40.647694,-74.005926 40.628644,-74.0411562443035 40.7026100257088,-74.046966591833 40.6911492802686,-74.047313 40.690466)
34;11;1308413666;(-74.78921 40.931298,-74.767874 40.911823,-74.711716 40.899233,-74.636163 40.942639,-74.538105 40.887911,-74.62366 40.866838,-74.657264 40.735247,-74.555839 40.758077,-74.513699 40.697701,-74.450097 40.718895,-74.444333 40.687969,-74.379968 40.727835,-74.371923 40.739229,-74.367278 40.761067,-74.290416 40.757607,-74.219574 40.836049,-74.179481 40.796487,-74.139923 40.80555,-74.130031 40.819962,-74.196489 40.859799,-74.203329 40.924459,-74.170988 40.976997,-74.272484 41.018312,-74.250595 41.060676,-74.311929 41.072932,-74.363009 41.013169,-74.44817 41.053744,-74.499193 41.035427,-74.502875 41.08592,-74.536002 41.058497,-74.638551 41.118611,-74.688427 41.009083,-74.78921 40.931298)
24;03;788542684;(-76.771694 39.478462,-76.797547 39.433781,-76.721481 39.363045,-76.711186 39.354383,-76.711191 39.362798,-76.551894 39.363406,-76.572565 39.294777,-76.684649 39.266458,-76.65986 39.255509,-76.554259 39.267253,-76.529517 39.297056,-76.529793 39.372058,-76.626193 39.372017,-76.660868 39.414421,-76.771694 39.478462);(-77.070112 39.254104,-77.134466 39.276834,-77.069549 39.226375,-77.109382 39.171371,-76.96466 39.0885,-76.974565 39.014714,-76.906183 39.116853,-76.888505 39.130967,-76.840362 39.103142,-76.831424 39.069034,-76.716877 39.048181,-76.666375 39.11443,-76.563196 39.131293,-76.524819 39.162999,-76.473795 39.125963,-76.447168 39.029857,-76.55506 38.951398,-76.4739761636555 38.9026933786299,-76.46938 38.907613,-76.45028 38.941113,-76.471281 38.956512,-76.448981 38.982811,-76.39408 39.011311,-76.420394 39.04207,-76.42186 39.081442,-76.428681 39.131709,-76.525785 39.177908,-76.5040085909181 39.199286249126,-76.529486 39.218408,-76.580287 39.206607,-76.690409 39.204996,-76.724377 39.08734,-76.826665 39.109948,-76.876498 39.140967,-76.852149 39.159915,-76.842478 39.147649,-76.786965 39.179814,-76.796716 39.207331,-76.766605 39.19737,-76.712164 39.201933,-76.697085 39.214092,-76.717258 39.225479,-76.896107 39.188303,-76.916669 39.22916,-76.973666 39.162209,-77.070112 39.254104)
29;03;17745439557;(-92.80696 38.191157,-92.828683 38.022012,-92.763029 37.988052,-92.406872 37.977802,-92.406275 38.021179,-92.18537 38.016338,-92.021165 38.010639,-91.895347 38.051199,-91.632431 38.050951,-91.630554 38.153519,-91.534384 38.152593,-91.535115 38.210976,-91.367482 38.209741,-91.348986 38.204069,-91.095765 38.204083,-90.970187 38.206687,-90.780185 38.204112,-90.7494 38.35819,-90.72179 38.37723,-90.630008 38.326423,-90.466288 38.324509,-90.458278 38.241314,-90.3511641450603 38.2195444570945,-90.363926 38.236355,-90.372519 38.323354,-90.349743 38.377609,-90.3429152667372 38.3844273200276,-90.45831 38.43623,-90.512522 38.501454,-90.660703 38.479195,-90.678775 38.445877,-90.736319 38.466645,-90.732328 38.639302,-90.742412 38.634563,-90.80466 38.67478,-90.80398 38.73293,-90.7563 38.76604,-90.62506 38.77549,-90.54012 38.76062,-90.52944 38.79945,-90.492149 38.751793,-90.482299 38.764348,-90.440617 38.82765,-90.382268 38.821942,-90.320213 38.891148,-90.195678 38.821261,-90.117707 38.805748,-90.113327 38.849306,-90.2072823011856 38.8987323228399,-90.230336 38.91086,-90.2765837220256 38.9193384672116,-90.298711 38.923395,-90.395816 38.960037,-90.4509699408919 38.9613950033245,-90.467784 38.961809,-90.500117 38.910408,-90.555693 38.870785,-90.595354 38.87505,-90.657254 38.92027,-90.6615829068768 38.9347033077532,-90.676397 38.984096,-90.713629 39.053977,-90.681086 39.10059,-90.707902 39.15086,-90.7232836234127 39.2241029700576,-91.182942 39.227233,-91.18546 39.13905,-91.260232 39.139845,-91.409033 39.142542,-91.629598 39.147853,-91.633998 39.059057,-92.110387 39.064204,-92.1625 38.865585,-92.135245 38.813894,-92.216388 38.714495,-92.220661 38.643167,-92.357813 38.679517,-92.394866 38.73913,-92.495185 38.427829,-92.625189 38.430778,-92.633756 38.348082,-92.689834 38.348472,-92.695886 38.222031,-92.764539 38.189619,-92.80696 38.191157)
48;32;484477667;(-96.826929 32.859119,-96.846883 32.855691,-96.768806 32.784487,-96.74003 32.815594,-96.759271 32.883367,-96.688942 32.864381,-96.722365 32.903365,-96.683081 32.917262,-96.602341 32.83745,-96.543356 32.833616,-96.519261 32.796028,-96.51897 32.813616,-96.516866 32.982308,-96.466726 32.982,-96.460126 33.022195,-96.60317 33.046241,-96.613377 32.984021,-96.803375 32.987003,-96.826929 32.859119)
